"Sentence","Mark #1","Mark #2","Mark #3","Mark #4","Mark #4","Evaluator #1","Evaluator #2","Evaluator #3","Evaluator #4","Evaluator #5"
"С другой стороны, внешнее давление сжимает в талантливом писателе некую пружину, которая не может полностью распрямиться, что придает тексту особенную внутреннюю силу.","mixed","mixed","mixed","neutral","positive",1,2,3,4,5
"Хочешь не хочешь, а поверишь в теорию о четырех истинах, три из которых — ложь.","negative","negative","doubrful","mixed","negative",1,6,7,8,2
"Так, может, больше смысла в том, чтобы наладить качественный контроль за исполнение этого запрета, вполне разумного и обоснованного?","mixed","negative","mixed","mixed","negative",1,2,8,9,10
"К тому же, если всё мерить меркой шариата, непонятно, зачем истовым мусульманкам идти в заведение, где их нравственные устои наверняка будут вступать в противоречие с местными порядками.","negative","negative","negative","mixed","negative",1,11,5,12,13
"Хорошая новость состоит в том, что задать такой вопрос со временем становится все сложнее","positive","positive","positive","positive","mixed",1,2,11,3,14
"Король-таки голый, или со мной что-то не то?","negative","neutral","negative","negative","mixed",1,11,13,15,3
"Теперь же речь идет не просто о сокращениях в риелторских агентствах и просроченных кредитах, но и об общем снижении цен на недвижимость, которые по разным позициям могут достигать 10 –50%, – и главным опасением продавцов (и надеждой покупателей) сегодня становится рост непрофильных активов у банков.","mixed","negative","mixed","negative","mixed",1,13,6,16,4
"Черные глаза означают страстность, вспыльчивость и коварство.","neutral","neutral","mixed","neutral","mixed",1,2,3,4,5
"Как ни странно, это не худший вариант.","positive","mixed","positive","positive","mixed",1,2,6,16,4
"Кроме того, есть целые области, заметно влияющие на счастье, где объективные, в том числе денежные, индикаторы работают априори плохо.","neutral","negative","mixed","negative","mixed",1,13,15,17,7
"Мадрид встретил нас вечерними пробками и подготовкой к празднованию 12 октября, будет большой государственный праздник с парадом и, я надеюсь, хорошей корридой.","mixed","mixed","positive","mixed","positive",1,13,7,8,2
"Уехал в деревню, живет там сам, но о родителях волнуется.","positive","negative","mixed","mixed","neutral",1,13,17,8,18
"Мнение этих граждан (возможно, частично или абсолютно незаслуженно выброшенных на обочину социума) фактически фигурирует после дегустаций как мнение типичных массовых потребителей.","negative","neutral","mixed","negative","neutral",1,6,7,8,2
"С одной стороны добротно, красиво, не примитивно.","positive","positive","mixed","positive","positive",1,6,7,8,2
"Однако эта практическая направленность не очень-то выражена, разве что больше представлений различных программных средств, и при этом много объяснений теоретических основ по которым эти программные средства работают.","neutral","neutral","mixed","mixed","neutral",1,6,7,8,2
"После этого снести ВАЗ и построить на его месте новый современный завод.","mixed","neutral","negative","neutral","mixed",1,13,3,4,5
"Фактически она закрепляет сложившийся сейчас порядок направления претензий владельцу сайта.","neutral","neutral","positive","mixed","neutral",1,13,2,9,7
"И я точно не знал, что это означает.","mixed","negative","negative","mixed","neutral",1,13,8,9,10
"В эти дни российские крестьяне вспоминают одно из самых трагических событий в истории ХХ века.","negative","negative","mixed","negative","negative",1,13,2,9,7
"Соблазн тем больший, что господин Громов, в обмен на лояльность подмосковных районов, реорганизованных в городские округа, предоставивший их властям свободу бушевать на спекулятивных интересах инвесторов - латифундистов, не может не вызывать раздражения у президента Медведева, взыскующего порядка и прозрачности порядка.","negative","neutral","negative","negative","mixed",1,2,3,4,5
"Так как значительную часть новых постановок театра составляют мировые и российские премьеры, а также малоизвестные оперные произведения, его цель — дать возможность зрителям и всем любителям оперного искусства до премьеры познакомиться с предлагаемым сочинением.","neutral","neutral","positive","mixed","positive",1,11,5,12,13
"Несколько дней назад мне звонила знакомая – из Канады! – с тревожным вопросом: дочка в 4 года не читает, что делать?","negative","neutral","negative","mixed","neutral",1,6,2,9,7
